,Energy consumption,Energy production,CO2 emission,clusters,cluster
126,1.984951638,10.29971466,43.00593472,0,Pink
127,0.36647442,2.42716051,18.08344591,0,Pink
128,1.879374669,1.150394258,107.448428,0,Pink
129,0.019668679,0.0,0.5,0,Pink
130,0.228844831,0.034765008,13.09081635,0,Pink
131,0.051636591,0.157373537,2.615793589,0,Pink
132,0.425470821,0.540266519,3.8,0,Pink
133,0.541868266,0.387075208,26.36625053,0,Pink
134,1.132450225,0.230004673,69.16925529,0,Pink
135,3.710831191,2.998716325,314.1663963,4,black
136,1.06372963,0.132735412,61.67241194,0,Pink
137,0.441480689,0.001550552,7.516666733,0,Pink
138,0.660869886,2.828734158,31.86655066,0,Pink
139,0.038802919,0.008313815,2.4,0,Pink
140,1.547901544,1.185226146,89.52571364,0,Pink
142,0.00990279,0.001132311,0.7,0,Pink
143,0.002631585,0.0,0.1,0,Pink
144,0.004998782,0.0,0.2,0,Pink
145,0.002392153,0.000255025,0.2,0,Pink
146,0.003171555,0.000357035,0.1,0,Pink
147,0.000996578,0.00010201,0.07937,0,Pink
148,5.100792499,21.59311278,263.6925676,4,black
149,0.067926981,0.002128062,4.167378115,0,Pink
150,0.012832913,0.0,0.6,0,Pink
151,0.006401559,0.000153015,0.9,0,Pink
152,1.653780368,0.00499849,104.9435682,0,Pink
153,0.800807577,0.279979145,39.95995461,0,Pink
154,0.27683505,0.135818039,14.99016081,0,Pink
155,0.00360413,0.0,0.2,0,Pink
156,0.010121057,0.0,0.6,0,Pink
157,4.60552106,5.20461059,384.5604707,1,Rose pink
158,8.095704975,1.186477002,428.9977425,1,Rose pink
159,5.509684886,1.404446402,302.3252425,4,black
160,0.197958149,0.032398376,9.800638108,0,Pink
161,0.106115717,0.359063855,4.5,0,Pink
162,0.028535642,0.030376043,1.5,0,Pink
163,2.273492748,1.391408958,60.08282377,0,Pink
164,1.287304586,0.64805386,45.6262472,0,Pink
165,0.743084466,1.462629512,49.89871874,0,Pink
166,3.585559575,0.464512369,210.1090064,4,black
167,0.200667025,0.143296814,5.54955425,0,Pink
168,0.05966768,0.023674572,2.675336564,0,Pink
169,2.571084939,1.242793086,167.73796,4,black
170,0.05617403,0.0,3.6,0,Pink
171,0.016184203,0.001009899,1.0,0,Pink
172,0.00149509,0.0,0.1,0,Pink
173,0.303945841,0.245524392,18.83283102,0,Pink
174,3.174613447,1.017997182,186.5800976,4,black
175,0.456109303,2.047766006,19.08585546,0,Pink
176,0.035321176,0.016127781,1.2,0,Pink
177,5.961806555,3.258123095,348.6102633,1,Rose pink
178,2.090262058,6.766856127,115.7557042,0,Pink
179,9.904146604,11.16416577,557.9823808,1,Rose pink
181,0.164026258,0.071570216,7.239235198,0,Pink
182,1.950387051,2.411936848,103.0349372,0,Pink
183,0.001303174,0.0,0.06513,0,Pink
184,2.732168332,9.363502781,121.0809428,4,black
185,0.665830866,1.191000526,37.28773003,0,Pink
186,0.205197233,0.917289111,12.0,0,Pink
187,0.099608553,0.08422385,1.984588257,0,Pink
188,0.198658171,0.141627838,14.17925916,0,Pink
189,0.01591449,0.007509175,1.15314859,0,Pink
190,0.092923343,0.051361074,3.264883293,0,Pink
191,1.275578842,6.170157236,70.05952682,0,Pink
192,0.120223226,1.609218911,5.418203145,0,Pink
193,0.007289302,0.0,0.5,0,Pink
194,2.70957482,3.659136774,137.7194221,4,black
